rank	gene_id	symbol	mean_tpm	var_log2tpm
464	ENSG00000196267	ZNF836	2.457	1.3445
465	ENSG00000105523	FAM83E	2.863	1.3383
466	ENSG00000102678	FGF9	2.547	1.338
467	ENSG00000198088	NUP62CL	4.294	1.338
468	ENSG00000107643	MAPK8	4.529	1.3376
469	ENSG00000117525	F3	3.801	1.3375
470	ENSG00000152778	IFIT5	3.126	1.3369
471	ENSG00000143643	TTC13	8.352	1.3367
472	ENSG00000077458	FAM76B	5.942	1.3354
473	ENSG00000267261	ENSG00000267261	1.628	1.3347
474	ENSG00000129317	PUS7L	20.101	1.3343
475	ENSG00000135362	PRR5L	1.859	1.3306
476	ENSG00000196747	H2AC13	68.215	1.3297
477	ENSG00000081320	STK17B	10.255	1.3285
478	ENSG00000148158	SNX30	7.887	1.3267
479	ENSG00000146856	AGBL3	5.584	1.3258
480	ENSG00000068366	ACSL4	5.948	1.3244
481	ENSG00000277971	ENSG00000277971	1.375	1.3243
482	ENSG00000165379	LRFN5	1.985	1.3237
483	ENSG00000182093	GET1	28.602	1.3233
484	ENSG00000050165	DKK3	2.569	1.3229
485	ENSG00000169981	ZNF35	17.046	1.3228
486	ENSG00000244754	N4BP2L2	9.872	1.3221
487	ENSG00000166377	ATP9B	13.748	1.322
488	ENSG00000254995	STX16-NPEPL1	1.758	1.3198
489	ENSG00000128040	SPINK2	1.746	1.3197
490	ENSG00000206105	KRTAP20-4	1.74	1.3194
491	ENSG00000146038	DCDC2	3.101	1.3186
492	ENSG00000198948	MFAP3L	2.04	1.3175
493	ENSG00000083844	ZNF264	4.893	1.317
494	ENSG00000213928	IRF9	3.703	1.314
495	ENSG00000284479	SMIM39	1.474	1.3128
496	ENSG00000214212	C19orf38	2.581	1.3118
497	ENSG00000168038	ULK4	1.802	1.3116
498	ENSG00000100218	RSPH14	1.825	1.3106
499	ENSG00000196408	NOXO1	1.342	1.3106
500	ENSG00000213760	ATP6V1G2	1.451	1.3103
501	ENSG00000141040	ZNF287	2.88	1.3096
502	ENSG00000204382	XAGE1B	1.297	1.3079
503	ENSG00000159231	CBR3	23.184	1.3051
504	ENSG00000197889	MEIG1	1.531	1.3039
505	ENSG00000187630	DHRS4L2	11.208	1.3037
506	ENSG00000105974	CAV1	4.134	1.3029
507	ENSG00000196754	S100A2	1.308	1.2984
508	ENSG00000159082	SYNJ1	3.504	1.2984
509	ENSG00000143494	VASH2	3.399	1.2983
510	ENSG00000251192	ZNF674	2.719	1.2982
511	ENSG00000124575	H1-3	55.636	1.2973
512	ENSG00000132481	TRIM47	5.497	1.2948
513	ENSG00000198393	ZNF26	3.348	1.2938
514	ENSG00000100362	PVALB	1.344	1.292
515	ENSG00000165949	IFI27	2.851	1.29
516	ENSG00000255152	MSH5-SAPCD1	5.22	1.2847
517	ENSG00000174485	DENND4A	3.196	1.2839
518	ENSG00000227507	LTB	2.09	1.2817
519	ENSG00000070882	OSBPL3	4.007	1.2808
520	ENSG00000162882	HAAO	2.458	1.2799
521	ENSG00000133106	EPSTI1	4.765	1.2798
522	ENSG00000103316	CRYM	2.303	1.2794
523	ENSG00000172345	STARD5	2.998	1.2793
524	ENSG00000118985	ELL2	4.939	1.2787
