gene_id	symbol	min_over_methods_mean_log2cpm	rank
ENSG00000204435	CSNK2B	7.2615	477
ENSG00000171530	TBCA	7.2599	478
ENSG00000136527	TRA2B	7.2584	479
ENSG00000163382	NAXE	7.255	480
ENSG00000182196	ARL6IP4	7.2547	481
ENSG00000179950	PUF60	7.2544	482
ENSG00000096063	SRPK1	7.2527	483
ENSG00000126698	DNAJC8	7.2523	484
ENSG00000131876	SNRPA1	7.252	485
ENSG00000102241	HTATSF1	7.25	486
ENSG00000174231	PRPF8	7.2405	487
ENSG00000022840	RNF10	7.2394	488
ENSG00000107937	GTPBP4	7.2386	489
ENSG00000107223	EDF1	7.2367	490
ENSG00000129559	NEDD8	7.2298	491
ENSG00000145833	DDX46	7.2283	492
ENSG00000197746	PSAP	7.2268	493
ENSG00000186010	NDUFA13	7.2251	494
ENSG00000204713	TRIM27	7.2243	495
ENSG00000110955	ATP5F1B	7.2227	496
ENSG00000175130	MARCKSL1	7.2137	497
ENSG00000143252	SDHC	7.2135	498
ENSG00000160075	SSU72	7.2127	499
ENSG00000113013	HSPA9	7.2077	500
ENSG00000105438	KDELR1	7.2075	501
ENSG00000174886	NDUFA11	7.207	502
ENSG00000213719	CLIC1	7.2069	503
ENSG00000183779	ZNF703	7.2041	504
ENSG00000130640	TUBGCP2	7.2027	505
ENSG00000183010	PYCR1	7.2021	506
ENSG00000136888	ATP6V1G1	7.2016	507
ENSG00000088247	KHSRP	7.1994	508
ENSG00000088325	TPX2	7.1981	509
ENSG00000105185	PDCD5	7.1964	510
ENSG00000184897	H1-10	7.1964	511
ENSG00000139644	TMBIM6	7.1951	512
ENSG00000152102	FAM168B	7.1917	513
ENSG00000087302	RTRAF	7.1915	514
ENSG00000158864	NDUFS2	7.1875	515
ENSG00000174574	AKIRIN1	7.1867	516
ENSG00000130725	UBE2M	7.1859	517
ENSG00000100941	PNN	7.1848	518
ENSG00000172115	CYCS	7.1843	519
ENSG00000171634	BPTF	7.1814	520
ENSG00000167491	GATAD2A	7.1791	521
ENSG00000072506	HSD17B10	7.1695	522
ENSG00000086598	TMED2	7.1679	523
ENSG00000132153	DHX30	7.1676	524
ENSG00000148308	GTF3C5	7.164	525
ENSG00000196365	LONP1	7.1638	526
ENSG00000042753	AP2S1	7.163	527
ENSG00000106244	PDAP1	7.1623	528
ENSG00000030582	GRN	7.1619	529
ENSG00000198055	GRK6	7.1607	530
ENSG00000169567	HINT1	7.1594	531
ENSG00000105618	PRPF31	7.1562	532
ENSG00000099800	TIMM13	7.1512	533
ENSG00000124172	ATP5F1E	7.1403	534
ENSG00000090060	PAPOLA	7.1402	535
ENSG00000115484	CCT4	7.1401	536
ENSG00000204394	VARS1	7.1358	537
ENSG00000100129	EIF3L	7.1353	538
ENSG00000183684	ALYREF	7.1341	539
ENSG00000025770	NCAPH2	7.1337	540
ENSG00000087087	SRRT	7.1336	541
ENSG00000103363	ELOB	7.1333	542
ENSG00000053372	MRTO4	7.1317	543
ENSG00000123136	DDX39A	7.1269	544
ENSG00000169714	CNBP	7.1232	545
ENSG00000166557	TMED3	7.121	546
ENSG00000170275	CRTAP	7.1203	547
ENSG00000088832	FKBP1A	7.1193	548
ENSG00000138107	ACTR1A	7.1164	549
ENSG00000139343	SNRPF	7.1149	550
ENSG00000096696	DSP	7.1134	551
ENSG00000126432	PRDX5	7.1125	552
ENSG00000102144	PGK1	7.1123	553
ENSG00000214706	IFRD2	7.1113	554
ENSG00000075785	RAB7A	7.1091	555
ENSG00000154723	ATP5PF	7.1083	556
ENSG00000244038	DDOST	7.1081	557
ENSG00000196235	SUPT5H	7.1059	558
ENSG00000134308	YWHAQ	7.1057	559
ENSG00000225921	NOL7	7.1054	560
ENSG00000084234	APLP2	7.1012	561
ENSG00000092820	EZR	7.0978	562
ENSG00000139726	DENR	7.0966	563
ENSG00000241468	ATP5MF	7.0917	564
ENSG00000163956	LRPAP1	7.0898	565
ENSG00000104969	SGTA	7.0873	566
ENSG00000132646	PCNA	7.086	567
ENSG00000134748	PRPF38A	7.0856	568
ENSG00000184076	UQCR10	7.0838	569
ENSG00000145337	PYURF	7.0795	570
ENSG00000100304	TTLL12	7.0758	571
ENSG00000242372	EIF6	7.075	572
ENSG00000125868	DSTN	7.0744	573
ENSG00000099995	SF3A1	7.0715	574
ENSG00000174780	SRP72	7.0701	575
ENSG00000168264	IRF2BP2	7.0697	576
ENSG00000205531	NAP1L4	7.0694	577
ENSG00000277443	MARCKS	7.0675	578
ENSG00000004059	ARF5	7.067	579
