rank	gene_id	symbol	mean_expr	var_log2expr
436	ENSG00000084764	MAPRE3	12.073	3.2971
437	ENSG00000092140	G2E3	27.559	3.2971
438	ENSG00000100567	PSMA3	209.309	3.2944
439	ENSG00000180834	MAP6D1	5.41	3.2889
440	ENSG00000179111	HES7	5.006	3.2868
441	ENSG00000172380	GNG12	48.118	3.2837
442	ENSG00000046653	GPM6B	25.843	3.2803
443	ENSG00000258790		7.496	3.2778
444	ENSG00000204922	UQCC3	136.404	3.2734
445	ENSG00000179528	LBX2	9.696	3.2705
446	ENSG00000165997	ARL5B	25.622	3.27
447	ENSG00000105810	CDK6	65.277	3.2676
448	ENSG00000132613	MTSS2	42.955	3.2653
449	ENSG00000137198	GMPR	7.437	3.2617
450	ENSG00000278828	H3C10	6.467	3.2615
451	ENSG00000137944	KYAT3	29.643	3.2597
452	ENSG00000253276	CCDC71L	20.227	3.2533
453	ENSG00000153443	UBALD1	71.608	3.2506
454	ENSG00000111300	NAA25	78.957	3.2494
455	ENSG00000143443	C1orf56	26.307	3.2411
456	ENSG00000149346	SLX4IP	12.941	3.2381
457	ENSG00000135870	RC3H1	17.732	3.2359
458	ENSG00000228594	FNDC10	35.34	3.2344
459	ENSG00000174197	MGA	48.426	3.234
460	ENSG00000170043	TRAPPC1	291.97	3.2314
461	ENSG00000133657	ATP13A3	26.146	3.2293
462	ENSG00000176490	DIRAS1	19.344	3.227
463	ENSG00000178821	TMEM52	18.794	3.2256
464	ENSG00000175283	DOLK	27.481	3.2231
465	ENSG00000173349	SFT2D3	10.514	3.2231
466	ENSG00000147669	POLR2K	101.946	3.2149
467	ENSG00000142409	ZNF787	56.636	3.2128
468	ENSG00000283765		8.529	3.211
469	ENSG00000138399	FASTKD1	23.38	3.2005
470	ENSG00000104427	ZC2HC1A	15.713	3.1993
471	ENSG00000213931	HBE1	7.796	3.199
472	ENSG00000134255	CEPT1	24.892	3.1969
473	ENSG00000196935	SRGAP1	14.215	3.196
474	ENSG00000196233	LCOR	75.231	3.1943
475	ENSG00000184709	LRRC26	4.933	3.1941
476	ENSG00000118402	ELOVL4	24.727	3.1873
477	ENSG00000204334	ERICH2	12.584	3.1823
478	ENSG00000198265	HELZ	57.748	3.1817
479	ENSG00000160229	ZNF66	5.052	3.1793
480	ENSG00000165240	ATP7A	13.318	3.1788
481	ENSG00000184207	PGP	250.06	3.1776
482	ENSG00000198467	TPM2	18.34	3.1762
483	ENSG00000161956	SENP3	69.933	3.172
484	ENSG00000272886	DCP1A	105.561	3.1658
485	ENSG00000171476	HOPX	6.563	3.1654
486	ENSG00000169213	RAB3B	11.098	3.164
487	ENSG00000147813	NAPRT	25.767	3.1632
488	ENSG00000108582	CPD	24.725	3.1631
489	ENSG00000108510	MED13	58.169	3.1612
490	ENSG00000261582		4.477	3.1593
491	ENSG00000175787	ZNF169	10.352	3.1578
492	ENSG00000165572	KBTBD6	33.211	3.156
493	ENSG00000105649	RAB3A	8.682	3.1546
494	ENSG00000204710	SPDYC	8.706	3.1546
495	ENSG00000178522	AMBN	4.832	3.1542
496	ENSG00000026036	RTEL1-TNFRSF6B	15.89	3.1509
497	ENSG00000186352	ANKRD37	5.276	3.1505
498	ENSG00000119632	IFI27L2	42.864	3.1501
499	ENSG00000059758	CDK17	12.65	3.1498
500	ENSG00000224420	ADM5	10.117	3.149
501	ENSG00000129355	CDKN2D	23.673	3.145
502	ENSG00000128585	MKLN1	28.73	3.1427
503	ENSG00000103067	ESRP2	8.067	3.1419
504	ENSG00000291313		4.73	3.139
505	ENSG00000102870	ZNF629	49.425	3.136
506	ENSG00000116741	RGS2	10.329	3.1342
507	ENSG00000172216	CEBPB	47.769	3.1315
508	ENSG00000288722	F8A1	21.963	3.1252
509	ENSG00000173581	CCDC106	35.987	3.125
510	ENSG00000147894	C9orf72	6.983	3.1242
511	ENSG00000130349	MTRES1	13.538	3.1238
512	ENSG00000286070		235.36	3.1233
513	ENSG00000058729	RIOK2	23.324	3.1219
514	ENSG00000143190	POU2F1	52.736	3.1208
515	ENSG00000198862	LTN1	23.249	3.119
516	ENSG00000072041	SLC6A15	50.679	3.1189
517	ENSG00000138778	CENPE	86.935	3.1181
518	ENSG00000146859	TMEM140	4.807	3.1162
519	ENSG00000184227	ACOT1	5.219	3.1157
