level	set	condition	well	in_benchmark	unit	SMN2_ex6>7	SMN2_ex7>8	SMN2_ex6>8	SMN1_ex6>7	SMN1_ex7>8	SMN1_ex6>8	ambiguous_ex6>7	ambiguous_ex7>8	ambiguous_ex6>8	skip_all_ex6>8	psi_SMN2	psi_SMN1	psi_pooled
well	bobseq_pe_native	Ris dose 500mM	Ris_dose_500mM-1	no (QC rule: input failure)	dedup	1	0	0	1	1	0	0	0	0	0	1.0	1.0	1.0
well	bobseq_pe_native	Ris dose 500mM	Ris_dose_500mM-2	no (QC rule: input failure)	dedup	1	0	0	1	0	0	0	0	1	1	0.5	0.5	0.6667
well	bobseq_pe_native	Ris dose 500mM	Ris_dose_500mM-3	no (QC rule: input failure)	dedup	0	0	0	0	0	0	0	0	0	0			
condition	bobseq_pe_native	CADM1 100nM	pooled (3 wells)		raw	69	67	6	91	110	5	0	34	99	110	0.433	0.5455	0.6944
condition	bobseq_pe_native	CADM1 1nM	pooled (3 wells)		raw	29	19	3	110	129	0	5	18	75	78	0.3097	0.6594	0.7282
condition	bobseq_pe_native	CHX dose 1ug/mL	pooled (3 wells)		raw	70	66	5	168	194	0	12	24	171	176	0.3098	0.5665	0.6596
condition	bobseq_pe_native	CHX dose 50ug/mL	pooled (3 wells)		raw	59	55	7	167	156	0	16	26	112	119	0.405	0.6383	0.7367
condition	bobseq_pe_native	Hek control	pooled (3 wells)		raw	33	47	1	111	130	0	7	22	61	62	0.4655	0.7048	0.7847
condition	bobseq_pe_native	Ris dose 25mM	pooled (3 wells)		raw	43	41	2	55	70	0	0	8	10	12	0.8154	0.8824	0.9264
condition	bobseq_pe_native	Ris dose 500mM	pooled (3 wells)		raw	6	0	0	16	9	0	0	0	3	3	0.6667	0.8421	0.88
well	bobseq_pe_native	CADM1 100nM	CADM1_100nM-1	yes	raw	17	23	5	17	9	0	0	1	39	44	0.3433	0.3333	0.5111
well	bobseq_pe_native	CADM1 100nM	CADM1_100nM-2	yes	raw	36	32	1	46	62	5	0	14	25	31	0.5921	0.6961	0.8075
well	bobseq_pe_native	CADM1 100nM	CADM1_100nM-3	yes	raw	16	12	0	28	39	0	0	19	35	35	0.3137	0.527	0.6789
well	bobseq_pe_native	CADM1 1nM	CADM1_1nM-1	yes	raw	6	0	3	45	58	0	5	1	29	32	0.1579	0.6559	0.6952
well	bobseq_pe_native	CADM1 1nM	CADM1_1nM-2	yes	raw	17	15	0	41	39	0	0	8	31	31	0.38	0.622	0.7156
well	bobseq_pe_native	CADM1 1nM	CADM1_1nM-3	yes	raw	6	4	0	24	32	0	0	9	15	15	0.4	0.7222	0.7945
well	bobseq_pe_native	CHX dose 1ug/mL	CHX_dose_1ug_mL-1	yes	raw	31	28	0	34	50	0	3	1	61	61	0.337	0.4959	0.609
well	bobseq_pe_native	CHX dose 1ug/mL	CHX_dose_1ug_mL-2	yes	raw	31	28	5	86	85	0	9	14	82	87	0.281	0.5397	0.6405
well	bobseq_pe_native	CHX dose 1ug/mL	CHX_dose_1ug_mL-3	yes	raw	8	10	0	48	59	0	0	9	28	28	0.3333	0.7083	0.7647
well	bobseq_pe_native	CHX dose 50ug/mL	CHX_dose_50ug_mL-1	yes	raw	17	16	3	52	32	0	14	12	29	32	0.4576	0.6444	0.7762
well	bobseq_pe_native	CHX dose 50ug/mL	CHX_dose_50ug_mL-2	yes	raw	16	16	2	60	62	0	0	13	43	45	0.3077	0.6512	0.7222
well	bobseq_pe_native	CHX dose 50ug/mL	CHX_dose_50ug_mL-3	yes	raw	26	23	2	55	62	0	2	1	40	42	0.4474	0.6182	0.7143
well	bobseq_pe_native	Hek control	Hek_control_1	yes	raw	6	6	0	49	46	0	5	13	21	21	0.2222	0.7342	0.7857
well	bobseq_pe_native	Hek control	Hek_control_2	no (defective TSO oligo: skewed UMI; excluded from benchmark and splicing, Bryan 2026-09-10)	raw	17	25	1	40	58	0	2	2	28	29	0.5246	0.6778	0.7698
well	bobseq_pe_native	Hek control	Hek_control_3	yes	raw	10	16	0	22	26	0	0	7	12	12	0.5714	0.7073	0.8125
well	bobseq_pe_native	Ris dose 25mM	Ris_dose_25mM-1	yes	raw	19	25	0	18	24	0	0	1	2	2	0.9355	0.9355	0.9672
well	bobseq_pe_native	Ris dose 25mM	Ris_dose_25mM-2	yes	raw	4	4	2	10	6	0	0	0	2	4	0.5	0.75	0.8
well	bobseq_pe_native	Ris dose 25mM	Ris_dose_25mM-3	yes	raw	20	12	0	27	40	0	0	7	6	6	0.7692	0.8909	0.9268
well	bobseq_pe_native	Ris dose 500mM	Ris_dose_500mM-1	no (QC rule: input failure)	raw	1	0	0	9	9	0	0	0	0	0	1.0	1.0	1.0
well	bobseq_pe_native	Ris dose 500mM	Ris_dose_500mM-2	no (QC rule: input failure)	raw	5	0	0	7	0	0	0	0	3	3	0.625	0.7	0.8
well	bobseq_pe_native	Ris dose 500mM	Ris_dose_500mM-3	no (QC rule: input failure)	raw	0	0	0	0	0	0	0	0	0	0			
