nt_from_polyA_site	genes_contributing	DRUG-seq_mean_over_genes_smoothed25	prime-seq_mean_over_genes_smoothed25	BOBseq_mean_over_genes_smoothed25	DRUG-seq_mean_over_genes_raw	prime-seq_mean_over_genes_raw	BOBseq_mean_over_genes_raw
314	2065	1.3062	2.9868	1.4189	1.3040	3.0062	1.4201
315	2065	1.2984	2.9795	1.4157	1.2938	2.9977	1.4100
316	2065	1.2904	2.9716	1.4120	1.2872	2.9856	1.4063
317	2065	1.2826	2.9636	1.4082	1.2795	2.9772	1.4074
318	2065	1.2754	2.9552	1.4052	1.2682	2.9598	1.3988
319	2065	1.2689	2.9463	1.4021	1.2633	2.9537	1.3952
320	2065	1.2623	2.9368	1.3991	1.2498	2.9534	1.3930
321	2065	1.2564	2.9267	1.3960	1.2424	2.9354	1.3913
322	2065	1.2505	2.9167	1.3932	1.2321	2.9134	1.3875
323	2065	1.2447	2.9073	1.3906	1.2269	2.9054	1.3832
324	2065	1.2390	2.8975	1.3880	1.2197	2.8881	1.3799
325	2065	1.2335	2.8875	1.3854	1.2063	2.8817	1.3826
326	2065	1.2271	2.8769	1.3830	1.2098	2.8723	1.3832
327	2065	1.2207	2.8667	1.3805	1.2289	2.8783	1.3791
328	2065	1.2143	2.8567	1.3785	1.2186	2.8656	1.3696
329	2065	1.2073	2.8470	1.3766	1.2105	2.8527	1.3630
330	2065	1.1996	2.8373	1.3743	1.2235	2.8302	1.3710
331	2065	1.1917	2.8275	1.3724	1.2180	2.8104	1.3671
332	2065	1.1839	2.8178	1.3710	1.2109	2.7966	1.3669
333	2065	1.1762	2.8076	1.3696	1.2088	2.7874	1.3702
334	2065	1.1685	2.7975	1.3679	1.1921	2.7816	1.3755
335	2065	1.1606	2.7869	1.3663	1.1855	2.7892	1.3752
336	2065	1.1521	2.7764	1.3652	1.1777	2.7807	1.3719
337	2065	1.1434	2.7668	1.3641	1.1719	2.7708	1.3670
338	2065	1.1350	2.7565	1.3627	1.1475	2.7493	1.3611
339	2065	1.1264	2.7466	1.3605	1.1439	2.7514	1.3558
340	2065	1.1167	2.7357	1.3584	1.1346	2.7466	1.3611
341	2065	1.1075	2.7247	1.3565	1.1126	2.7439	1.3584
342	2065	1.0980	2.7140	1.3546	1.0876	2.7345	1.3489
343	2065	1.0877	2.7045	1.3526	1.0709	2.7153	1.3527
344	2065	1.0779	2.6962	1.3505	1.0674	2.7109	1.3595
345	2065	1.0679	2.6877	1.3481	1.0561	2.6989	1.3586
346	2065	1.0579	2.6791	1.3452	1.0507	2.6820	1.3474
347	2065	1.0486	2.6710	1.3420	1.0338	2.6488	1.3497
348	2065	1.0391	2.6623	1.3390	1.0153	2.6438	1.3540
349	2065	1.0296	2.6533	1.3362	1.0016	2.6474	1.3530
350	2065	1.0203	2.6445	1.3337	0.9976	2.6246	1.3475
351	2065	1.0116	2.6363	1.3317	0.9940	2.6251	1.3292
352	2065	1.0027	2.6280	1.3295	0.9874	2.6047	1.3266
353	2065	0.9940	2.6195	1.3273	0.9887	2.5917	1.3205
354	2065	0.9860	2.6115	1.3256	0.9728	2.5839	1.3158
355	2065	0.9788	2.6044	1.3244	0.9657	2.5920	1.3223
356	2065	0.9720	2.5979	1.3228	0.9727	2.6031	1.3145
357	2065	0.9652	2.5910	1.3209	0.9602	2.5856	1.3065
358	2065	0.9586	2.5846	1.3188	0.9599	2.5726	1.2973
359	2065	0.9521	2.5786	1.3171	0.9602	2.5786	1.2955
360	2065	0.9460	2.5738	1.3152	0.9466	2.5707	1.3016
361	2065	0.9404	2.5691	1.3133	0.9404	2.5570	1.3009
362	2065	0.9352	2.5646	1.3114	0.9383	2.5491	1.3044
363	2065	0.9296	2.5608	1.3092	0.9299	2.5461	1.3099
364	2065	0.9238	2.5567	1.3075	0.9232	2.5428	1.3011
365	2065	0.9176	2.5530	1.3057	0.9167	2.5355	1.3058
366	2065	0.9111	2.5492	1.3043	0.9132	2.5424	1.3173
367	2065	0.9049	2.5455	1.3027	0.9057	2.5582	1.3193
368	2065	0.8985	2.5410	1.3005	0.9008	2.5530	1.3116
369	2065	0.8916	2.5355	1.2985	0.8989	2.5386	1.3136
370	2065	0.8852	2.5303	1.2963	0.8912	2.5377	1.3048
371	2065	0.8782	2.5247	1.2944	0.8885	2.5330	1.3044
372	2065	0.8712	2.5185	1.2920	0.8808	2.5272	1.3031
373	2065	0.8639	2.5118	1.2892	0.8747	2.5266	1.3058
