metric	column	sample_index_in_column	value
genes at 250k filtered reads (no ribosomal-protein genes)	DRUG-seq	24	7118
genes at 250k filtered reads (no ribosomal-protein genes)	prime-seq	1	10923
genes at 250k filtered reads (no ribosomal-protein genes)	prime-seq	2	11090
genes at 250k filtered reads (no ribosomal-protein genes)	prime-seq	3	11019
genes at 250k filtered reads (no ribosomal-protein genes)	prime-seq	4	11008
genes at 250k filtered reads (no ribosomal-protein genes)	prime-seq	5	11090
genes at 250k filtered reads (no ribosomal-protein genes)	prime-seq	6	11057
genes at 250k filtered reads (no ribosomal-protein genes)	prime-seq	7	11092
genes at 250k filtered reads (no ribosomal-protein genes)	prime-seq	8	11078
genes at 250k filtered reads (no ribosomal-protein genes)	Hek control	1	10468
genes at 250k filtered reads (no ribosomal-protein genes)	Hek control	2	10483
genes at 250k filtered reads (no ribosomal-protein genes)	Hek control	3	10448
genes at 250k filtered reads (no ribosomal-protein genes)	CADM1 1nM	1	10688
genes at 250k filtered reads (no ribosomal-protein genes)	CADM1 1nM	2	10690
genes at 250k filtered reads (no ribosomal-protein genes)	CADM1 1nM	3	10622
genes at 250k filtered reads (no ribosomal-protein genes)	CADM1 100nM	1	10680
genes at 250k filtered reads (no ribosomal-protein genes)	CADM1 100nM	2	10677
genes at 250k filtered reads (no ribosomal-protein genes)	CADM1 100nM	3	10674
genes at 250k filtered reads (no ribosomal-protein genes)	CHX dose 1ug mL	1	10695
genes at 250k filtered reads (no ribosomal-protein genes)	CHX dose 1ug mL	2	10731
genes at 250k filtered reads (no ribosomal-protein genes)	CHX dose 1ug mL	3	10640
genes at 250k filtered reads (no ribosomal-protein genes)	CHX dose 50ug mL	1	10765
genes at 250k filtered reads (no ribosomal-protein genes)	CHX dose 50ug mL	2	10888
genes at 250k filtered reads (no ribosomal-protein genes)	CHX dose 50ug mL	3	10624
genes at 250k filtered reads (no ribosomal-protein genes)	Ris dose 25mM	1	10481
genes at 250k filtered reads (no ribosomal-protein genes)	Ris dose 25mM	2	10342
genes at 250k filtered reads (no ribosomal-protein genes)	Ris dose 25mM	3	10590
genes at 250k filtered reads (no ribosomal-protein genes)	Ris dose 500mM	1	9203
genes at 250k filtered reads (no ribosomal-protein genes)	Ris dose 500mM	2	9665
